file_id,Question,Generated
qe-0fk4ZG20_chunk32_data2_task3,What cause of depression does this show?,The speaker feels that their depression is caused by trying to express rejection but not caring about the other person's feelings.
Dm5w8aCM5cw_chunk28_data1_task4,Does the emotional wellness dimension exist here?,"The statement does not explicitly mention emotional wellness, but it may imply a concern about the potential loss of control over one's life or circumstances."
cwmf4PSMqLE_chunk19_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of narcissistic personality disorder, which is characterized by a grandiose sense of self-importance, a need for admiration, and a lack of empathy towards others."
keSGvlBzQWg_chunk41_data1_task2,What mental disorder symptoms does the patient show?,The patient shows auditory hallucinations and visual hallucinations.
dm-rJJPCuTE_chunk2_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the person's depression.
Cg4BbnkBavQ_chunk5_data1_task4,Does the emotional wellness dimension exist here?,"The phrase 'life in general' does not convey a specific emotion, so it is not possible to determine if there is an emotional wellness dimension present without more context or information."
jxNBQKMW1wg_chunk33_data2_task3,What is the stress cause here?,The stress cause here is a breakup.
hOcPKXJmEdU_chunk8_data1_task4,Does the social wellness dimension exist here?,"No, the social wellness dimension does not seem to be present in this sentence as it is focused on personal feelings and actions rather than interactions with others or the maintenance of social relationships."
8N1PzEFw0oE_chunk33_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression.
8K4HW6_MvoU_chunk20_data2_task2,What mental disorder symptoms does the patient show?,The patient exhibits symptoms of low self-esteem and a lack of confidence.
8-0VGan6sCY_chunk20_data1_task2,What mental disorder symptoms does this patient show?,"The patient exhibits symptoms of depression, as indicated by their mood and energy levels."
3ydZbOjDZ70_chunk12_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker talks about experiencing anxiety when things don't go as planned."
yYC4y7KuELY_chunk14_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
fVpPZUEg9s4_chunk12_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of depression.
W_tDRu67JnI_chunk4_data1_task2,What mental disorder symptoms does this patient show?,"The patient shows signs of anxiety, as indicated by the constant need for control and the feeling of losing it. They also appear to have depression, as they express a lack of motivation and interest in activities, and feel overwhelmed by daily responsibilities."
hUQiq1mou78_chunk17_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of anxiety and possibly overprotectiveness.
vdMnsJJvqR4_chunk18_data1_task2,What mental disorder symptoms does this patient show?,"The patient shows signs of depression, as indicated by the speech pattern and pauses, which is a common symptom of depression."
jm6PG989Q_0_chunk46_data2_task4,Does the social wellness dimension exist here?,"The speech does not explicitly mention 'social wellness,' but it discusses personal values and relationships, which are related to overall well-being."
nYk8Xs7Qee4_chunk3_data1_task1,Does the patient suffer from stress?,"The patient does not explicitly mention stress, but the content of the speech implies indecisiveness which can be a symptom of stress or anxiety."
8K4HW6_MvoU_chunk20_data2_task4,Does the patient show risk of thwarted belongingness?,"Yes, the patient shows signs of thwarted belongingness as they mention that when others' attention shifts away from them, they feel a sense of safety. This indicates that they may feel excluded or ignored by others which can lead to feelings of not belonging."
jm6PG989Q_0_chunk87_data1_task4,Does the vocational wellness dimension exist here?,"Based on the provided transcription, it seems that the speaker is interested in learning more about their options for pursuing a career in counseling and wants to explore different areas within the field beyond just being a counselor. This suggests an interest in vocational wellness, which involves understanding one's interests, values, skills, personality, and preferences to identify fulfilling career paths. Therefore, the vocational wellness dimension does seem to exist in this context."
DPOFpRQqInw_chunk25_data2_task3,What is the stress cause here?,"The stressor seems to be related to an emotional or physical sensation, starting from the stomach and spreading throughout the body."
cVvMUM6fFWk_chunk2_data2_task4,Does the physical wellness dimension exist here?,"Yes, the physical wellness dimension is present as the speaker mentions losing weight and being tired, which are related to physical health issues."
Dm5w8aCM5cw_chunk5_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of anxiety, as indicated by the description of their behavior and speech."
nblFvpbetoE_chunk8_data2_task1,Does the patient suffer from loneliness?,"Yes, the patient feels like they are alone in their therapy and that they are not getting anything from it."
_HIotEzcUEU_chunk44_data2_task4,Does the emotional wellness dimension exist here?,"Based on the provided information, it cannot be determined if an emotional wellness dimension exists within this context."
4gtDUCVAxxY_chunk12_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
ihDezGfSvQs_chunk39_data1_task3,What is the stress cause here?,"The context of the stressor is not provided, but it can be inferred that it relates to a situation where the speaker feels observed or judged by others based on their age."
gbBn8EzZx3w_chunk8_data2_task2,What mental disorder symptoms does the patient show?,The patient starts feeling anxiety a few days before presentation.
FQOrzyBuAi8_chunk16_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient is described as feeling alone and isolated."
P2a9102jifM_chunk25_data1_task3,What cause of depression does this show?,The audio does not explicitly mention the cause of depression.
P3JUXQ4kkHs_chunk23_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of depression, as indicated by their mood and the content of what they are saying."
OhHauJSOPMY_chunk2_data1_task4,Does the vocational wellness dimension exist here?,"The content does not explicitly mention 'vocational wellness'. However, it does discuss personal challenges such as job loss, which can impact one's overall well-being."
VKdjQYtbiic_chunk9_data1_task1,Does the patient suffer from stress?,"Yes, the patient admits to procrastinating and not wanting to do their paper, which could indicate a form of stress or avoidance behavior."
58_UJc4XjLo_chunk14_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
RsI7Iycy5H4_chunk7_data1_task3,What cause of depression does this show?,The audio does not explicitly mention the cause of depression.
ZNDBInn5neE_chunk24_data1_task1,Does the patient suffer from loneliness?,"Yes, the patient mentions feeling lonely and isolated during their prom and university years."
Dm5w8aCM5cw_chunk18_data1_task3,What is the stress cause here?,The speaker is worried about the results of a test that may indicate a problem.
4gtDUCVAxxY_chunk11_data2_task2,What mental disorder does this person show?,Hopelessness
aTtmXde5T_Q_chunk5_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is talking about their emotional state and how it affects their behavior in a classroom setting."
pllei-yDO8c_chunk15_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but the speaker is discussing a person's lack of interest or desire for something, which can be a symptom of depression."
XUVQ5dGB1x0_chunk4_data1_task3,What is the stress cause here?,The word 'reserva' is stressed on its second syllable.
tBd5VGCKnjA_chunk3_data1_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of anxiety.
ciaoqPxyD_Q_chunk19_data1_task3,What is the stress cause here?,The stress cause here is school stressors.
88qr91P1lsA_chunk24_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows a strong compulsion to buy red shoes and feels like they have meaning at multiple levels, which suggests they may be experiencing强迫症 (OCD)."
GHi-ut-gfgs_chunk1_data1_task2,What mental disorder symptoms does the patient show?,The patient has been experiencing auditory hallucinations.
YKDQ6mU4V6k_chunk6_data4_task2,What mental disorder does this person show?,The person is exhibiting symptoms of depression.
7_gmIvbjt3w_chunk33_data2_task1,Does the patient suffer from stress?,"Yes, the patient has some type of anxiety disorder according to the counselor's note."
Dm5w8aCM5cw_chunk20_data1_task3,What cause of depression does this show?,"The speaker mentions being busy and their body constantly moving, which can contribute to stress and burnout, potentially leading to depression."
S4jJ_AZhxgU_chunk9_data1_task3,What cause of depression does this show?,The speech does not provide information on the causes of depression.
uriVBFB1oOI_chunk3_data3_task3,What cause of depression does this show?,The audio does not explicitly mention the cause of depression.
3rSt4KIaN8I_chunk18_data2_task4,Does the physical wellness dimension exist here?,"No, there is no mention of physical wellness dimensions in the speech."
hUQiq1mou78_chunk1_data2_task1,Does the patient suffer from stress?,"Yes, the patient indicates they were very nervous about giving a thank you speech."
YJflzedS_DU_chunk4_data1_task1,Does the patient suffer from stress?,"Yes, the patient expresses feelings of being overwhelmed and under a lot of stress."
C4kdF-3btbg_chunk8_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of depression.
A1XJeciqyL8_chunk48_data1_task3,What cause of depression does this show?,The audio does not specifically mention the cause of the person's depression.
824H2W-h5Kg_chunk14_data1_task2,What mental disorder does this person show?,The person seems to show symptoms of schizophrenia.
tlQHg2Rbm60_chunk2_data1_task3,What is the stress cause here?,The speaker is under a lot of stress at work because they have to make weekly presentations.
dJ1eDL15_Lw_chunk18_data3_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of low self-esteem and decreased confidence.
rmjBUBlFfU8_chunk2_data2_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
I7QiPXqL9pY_chunk12_data1_task1,Does the patient suffer from stress?,"Yes, the patient mentions that they get stomach aches and headaches when they are stressed."
zdha69z2VaA_chunk10_data2_task2,What mental disorder symptoms does this patient show?,The patient shows symptoms of depression.
7De6VY8P9hY_chunk2_data1_task3,What is the stress cause here?,"The speaker has been feeling anxious ever since they started studying in a new type of setting, which is their first time doing so."
ankWMLepQsE_chunk7_data1_task3,What cause of depression does this show?,The speaker is expressing that a lack of time spent together with their partner is contributing to their feelings of depression.
jkKm5Cym-ZY_chunk18_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows excessive happiness and a lot of energy, which is not typical of someone with a mood disorder."
8-0VGan6sCY_chunk19_data1_task3,What cause of depression does this show?,"The audio segment suggests that the speaker may experience depression when they post a lot about their activities such as going out, drinking, and gambling, which might upset others."
jm6PG989Q_0_chunk89_data1_task3,What cause of depression does this show?,The audio segment does not explicitly mention the cause of depression.
3ydZbOjDZ70_chunk23_data2_task3,What is the stress cause here?,The speaker is expressing a neutral emotion.
8N1PzEFw0oE_chunk15_data2_task2,What mental disorder symptoms does the patient show?,The patient shows a lack of power or impaired ability to make decisions.
jS1KE3_Pqlc_chunk10_data1_task3,What is the stress cause here?,"The stressor in this scenario seems to be a situation where someone is possibly facing some form of conflict or distress, as indicated by the phrase 'that situation'. The context suggests that it may involve a family member, which implies that the stress could also be related to interpersonal relationships."
fK70IxJ4nP0_chunk5_data1_task4,Does the vocational wellness dimension exist here?,"Yes, the speech references personal issues that could impact one's professional life, which falls under the vocational wellness dimension."
4AteX7MS03k_chunk5_data1_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is expressing concern for their home situation which implies emotional distress or concern for their well-being."
ankWMLepQsE_chunk4_data1_task2,What mental disorder symptoms does the patient show?,The patient is experiencing issues with connecting with their partner in their free time and feels that their partner is not prioritizing spending time together.
P7qMfG-yNfA_chunk10_data1_task3,What is the stress cause here?,"The speaker has not slept for more than a few hours, which is causing stress."
X7o-_2Ityd0_chunk11_data2_task1,Does the patient suffer from loneliness?,The audio does not provide explicit information regarding whether the patient suffers from loneliness.
o2Cv6Mlp3KY_chunk7_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows symptoms of narcissistic personality disorder, as indicated by their grandiose communication style and belief that they are superior to others."
c6SDiismjkM_chunk18_data2_task2,What mental disorder symptoms does the patient show?,The patient shows symptoms of bipolar and anxiety.
iBp75KNuLb8_chunk22_data1_task3,What cause of depression does this show?,The audio does not provide enough information to determine the specific cause of the person's depression.
wYTzxk1g5LI_chunk19_data1_task3,What is the stress cause here?,The speaker feels challenged as a therapist.
ankWMLepQsE_chunk52_data2_task4,Does the emotional wellness dimension exist here?,"Yes, the speaker is expressing sadness."
Hiw4OHuwU48_chunk6_data1_task3,What is the stress cause here?,The stress cause here is the rumor about the speaker's friend.
EbomaV3F8H0_chunk10_data2_task3,What cause of depression does this show?,The audio does not specifically mention any cause of depression.
Zldp0jcw6j4_chunk16_data1_task3,What cause of depression does this show?,"The speaker mentioned needing weed as a cause of their depression, indicating that their mood is influenced by their drug use."
_TwVa4utpII_chunk11_data1_task2,What mental disorder symptoms does the patient show?,"The patient shows signs of alcohol use disorder, specifically heavy drinking and tolerance."
DcAqhHb5-hk_chunk5_data3_task2,What mental disorder symptoms does the patient show?,The patient shows confusion.
YpgvoXv3o-w_chunk7_data1_task4,Does the vocational wellness dimension exist here?,"Based on the provided transcription, it is not possible to determine if the vocational wellness dimension exists as it does not appear to be mentioned. The list of dimensions provided does not include vocational wellness."
67I6g1I7Zao_chunk4_data1_task2,What mental disorder symptoms does the patient show?,The patient shows signs of increased stress.
HQWorEVFjUo_chunk6_data1_task3,What cause of depression does this show?,"The audio does not specifically mention depression, but the context suggests that the speaker is talking about someone who had difficulty connecting with others during a visit. This could potentially be a symptom of depression, but it's important to note that the audio does not provide enough information to确诊 depression or any other mental health condition."
KRDH89uP8wI_chunk3_data1_task3,What is the stress cause here?,The speaker feels like they are not performing as well as they need to.
